# Reconstruction-error benchmark, 8 bits per 2-D pair
# seed=0x80000000, n=10000 samples per dataset

dataset       quantizer       mse         rmse        max_err     p99_err     rel_med     rel_p99     cos_med   
-----------   -------------   ---------   ---------   ---------   ---------   ---------   ---------   --------- 
gaussian      cart_uniform       0.05043      0.2246      0.3858      0.3634      0.1749       2.062      0.9946
gaussian      polar              0.03803       0.195       1.067      0.5292      0.1394           1      0.9951
gaussian      log_polar           0.1707      0.4132       2.172       1.357      0.2529      0.5899      0.9951
gaussian      fp4_like           0.02998      0.1732      0.7195      0.3691      0.1284           1      0.9978

lognormal     cart_uniform         5.458       2.336       3.156        3.08       2.349       32.41      0.9358
lognormal     polar               0.7053      0.8398       7.831       1.577           1           1       0.995
lognormal     log_polar           0.6435      0.8022       12.66       3.215      0.2605      0.5933      0.9949
lognormal     fp4_like            0.9064      0.9521       3.988       1.844           1           1      0.9811

outlier       cart_uniform         16.89       4.109       5.169       5.065       3.381       35.36      0.9275
outlier       polar                2.175       1.475       14.23       2.706           1           1      0.9944
outlier       log_polar            2.237       1.496       27.57       6.336      0.2552      0.5884       0.995
outlier       fp4_like             2.084       1.443       8.847       2.858           1           1      0.9874

rope_pair     cart_uniform         1.404       1.185       1.798       1.706       1.064       10.47       0.941
rope_pair     polar               0.2988      0.5466        4.58      0.9998      0.5892           1       0.995
rope_pair     log_polar           0.3452      0.5876       9.485       2.006      0.2588      0.5914       0.995
rope_pair     fp4_like            0.3955      0.6289       2.117       1.067       0.727           1      0.9821

