quantizer,bits,ce_nats,bpc,ppl,delta_ce,delta_bpc,delta_ppl,ppl_ratio,n_tokens,wall_s
fp32,0,1.776659909919773,2.563178441387489,5.9100832045311344,0.0,0.0,0.0,1.0,892.0,108.11977410316467
cart,6,3.088815458152326,4.456218743697533,21.951060619577287,1.312155548232553,1.8930403023100437,16.040977415046154,3.7141711647558324,892.0,108.15280175209045
polar,6,2.450077621391536,3.534714834174596,11.589246257732599,0.6734177114717628,0.9715363927871072,5.6791630532014645,1.960927766439459,892.0,108.73734140396118
log_polar,6,2.7976884371496635,4.036211234228214,16.40667783722926,1.0210285272298905,1.4730327928407254,10.496594632698127,2.7760485376332116,892.0,106.24325013160706
log_polar_zf25,6,1.9804583493904149,2.8571974393526935,7.246063452902243,0.2037984394706418,0.2940189979652046,1.3359802483711087,1.2260510050597666,892.0,106.62971186637878
log_polar_zf50,6,2.717339348899944,3.920292003070394,15.139986387490428,0.9406794389801709,1.357113561682905,9.229903182959294,2.5617213605187357,892.0,108.15515732765198
turbo,6,1.8103905921559698,2.6118415293754516,6.112834591239547,0.033730682236196685,0.048663087987962594,0.20275138670841297,1.0343060122322758,892.0,110.08512544631958
cart,8,2.1190961487090108,3.057209504909391,8.323610780338523,0.3424362387892377,0.49403106352190207,2.4135275758073886,1.408374551132713,892.0,108.75844383239746
polar,8,1.8174408369534754,2.622012882581866,6.15608385130451,0.040780927033702286,0.058834441194377085,0.24600064677337574,1.0416238889132343,892.0,109.44685292243958
log_polar,8,1.9108670495550728,2.756798416191229,6.758946600304652,0.13420713963529973,0.19361997480373994,0.8488633957735177,1.143629686147686,892.0,108.35098719596863
log_polar_zf25,8,1.8229861409140276,2.6300130651059765,6.190316033673824,0.04632623099425448,0.06683462371848758,0.28023282914268943,1.0474160548074587,892.0,110.15744280815125
log_polar_zf50,8,2.074760539649313,2.9932467415841737,7.962639494276967,0.2981006297295401,0.43006830019668474,2.0525562897458327,1.3472973592270547,892.0,108.60240578651428
turbo,8,1.7855425779060399,2.5759934224411394,5.962814361372806,0.008882667986266801,0.01281498105365042,0.052731156841671734,1.0089222359511358,892.0,109.22134852409363
cart,10,1.8540178649628642,2.674782379501468,6.385423821494861,0.07735795504309118,0.11160393811397906,0.4753406169637264,1.0804287521027272,892.0,108.11914896965027
polar,10,1.7874312464966369,2.5787181952506764,5.974086783152377,0.0107713365768638,0.0155397538631874,0.06400357862124295,1.0108295562695586,892.0,106.85699677467346
log_polar,10,1.790929683120796,2.583765372419215,5.995023348420171,0.01426977320102285,0.020586931031726152,0.08494014388903626,1.014372072431047,892.0,108.87498736381531
log_polar_zf25,10,1.7956789298977018,2.590617087192215,6.023562910804178,0.019019019977928764,0.027438645804726214,0.11347970627304349,1.0192010336142208,892.0,107.6781051158905
log_polar_zf50,10,2.075222271974846,2.993912880520438,7.966316951263086,0.2985623620550728,0.43073443913294884,2.0562337467319516,1.3479195936117245,892.0,109.71482276916504
fp4_like,8,1.8117599145179373,2.6138170439564403,6.121210765873149,0.0351000045981642,0.05063860256895136,0.21112756134201494,1.0357232807112002,892.0,107.63714575767517
