quantizer,bits,ce_nats,bpc,ppl,delta_ce,delta_bpc,delta_ppl,ppl_ratio,n_tokens,wall_s
fp32,0,1.5868551226813399,2.289348016101617,4.888351463804394,0.0,0.0,0.0,1.0,1806.0,10.275230169296265
cart,6,6.201677459683001,8.94712931627753,493.5763013974478,4.6148223370016614,6.657781300175914,488.68794993364344,100.96988832577078,1806.0,8.600510358810425
polar,6,9.246989202657808,13.34058546582821,10373.286788639527,7.660134079976468,11.051237449726594,10368.398437175723,2122.0419328373014,1806.0,8.595976114273071
log_polar,6,5.950857709544573,8.585272906595812,384.08262916022966,4.364002586863234,6.295924890494195,379.1942776964253,78.57099310558056,1806.0,8.78173017501831
log_polar_zf25,6,5.1772985447812845,7.469262935757606,177.20345660505907,3.590443422099945,5.179914919655989,172.3151051412547,36.250146479269155,1806.0,8.95407247543335
log_polar_zf50,6,7.816476545196567,11.276791948979985,2481.147776494175,6.229621422515227,8.987443932878369,2476.2594250303705,507.56329508337035,1806.0,8.924395084381104
cart,8,3.872079234582641,5.58622950966151,48.042173252451775,2.285224111901301,3.296881493559893,43.15382178864738,9.827888524010222,1806.0,8.990166187286377
polar,8,9.391372292012734,13.54888623282879,11984.534333600592,7.804517169331395,11.259538216727174,11979.645982136788,2451.6515275834,1806.0,8.634084701538086
log_polar,8,4.214538236261074,6.08029341309077,67.66291437575475,2.6276831135797343,3.790945396989153,62.774562911950355,13.841663161244059,1806.0,8.964187383651733
log_polar_zf25,8,2.5902752543604652,3.7369772640032415,13.33344118596472,1.0034201316791254,1.4476292479016246,8.445089722160326,2.7275946266735644,1806.0,8.81147575378418
log_polar_zf50,8,4.8520183373131225,6.999982793543956,127.99847340347226,3.265163214631783,4.710634777442339,123.11012193966786,26.184384316723524,1806.0,8.767457008361816
cart,10,2.171416594208541,3.1326919521686647,8.770699767136497,0.584561471527201,0.8433439360670478,3.882348303332103,1.7942040035539175,1806.0,8.638320446014404
polar,10,8.582900747508306,12.382508344872411,5339.571832225139,6.996045624826967,10.093160328770795,5334.683480761334,1092.3052222741733,1806.0,8.742396593093872
log_polar,10,6.539851969130676,9.435012004012748,692.1841058372349,4.952996846449336,7.145663987911131,687.2957543734306,141.59867819703328,1806.0,8.54750680923462
log_polar_zf25,10,4.428893705011074,6.389542984843824,83.83861534674477,2.8420385823297343,4.100194968742207,78.95026388294038,17.150693023512016,1806.0,8.815259456634521
log_polar_zf50,10,5.5080244670542635,7.946399583714262,246.6633538382054,3.921169344372924,5.657051567612646,241.77500237440103,50.45941472592846,1806.0,8.802474021911621
fp4_like,8,8.995154498027409,12.977264786334196,8063.915390667787,7.408299375346069,10.68791677023258,8059.027039203982,1649.6185780373467,1806.0,9.525517702102661
