quantizer,bits,ce_nats,bpc,ppl,delta_ce,delta_bpc,delta_ppl,ppl_ratio,n_tokens,wall_s
fp32,0,1.584269746461448,2.2856181066503463,4.875729559391739,0.0,0.0,0.0,1.0,1806.0,28.043418169021606
cart,8,3.7798084077380953,5.45311084535416,43.80764772516954,2.1955386612766477,3.1674927387038134,38.9319181657778,8.984839538687348,1806.0,27.81824779510498
polar,8,9.753936531007753,14.071955862430585,17221.890050825757,8.169666784546305,11.786337755780238,17217.014321266364,3532.1667949471416,1806.0,27.06911540031433
log_polar,8,3.5829940238268274,5.169167709709757,35.98110803211477,1.9987242773653795,2.8835496030594103,31.10537847272303,7.379635722987785,1806.0,27.884843111038208
log_polar_zf25,8,2.5717770733838594,3.7102900300428256,13.089064012883243,0.9875073269224115,1.4246719233924794,8.213334453491505,2.684534458575701,1806.0,27.533355236053467
log_polar_zf50,8,4.972333432828073,7.1735607851874565,144.36335684982944,3.3880636863666247,4.88794267853711,139.4876272904377,29.608565260096004,1806.0,27.46762776374817
cart,10,2.261145033049557,3.262142725911307,9.594068405173017,0.6768752865881089,0.9765246192609607,4.718338845781278,1.9677195562852146,1806.0,26.78400707244873
polar,10,8.507474001591916,12.273690552588443,4951.639444277192,6.923204255130468,9.988072445938096,4946.7637147178,1015.568928497938,1806.0,27.42792773246765
log_polar,10,6.346808381782946,9.156508977870763,570.6684435824059,4.762538635321498,6.870890871220416,565.7927140230141,117.04267774310239,1806.0,27.45130491256714
log_polar_zf25,10,5.277307520937154,7.613545389702062,195.84186472160528,3.693037774475706,5.327927283051716,190.96613516221353,40.16667912689503,1806.0,27.48845076560974
log_polar_zf50,10,5.695708316029901,8.217170141886367,297.587504952235,4.1114385695684526,5.93155203523602,292.71177539284326,61.03445675714629,1806.0,27.368125677108765
fp4_like,8,9.409854521387043,13.575550453491678,12208.094830437436,7.825584774925595,11.289932346841331,12203.219100878045,2503.8498714355337,1806.0,28.009979248046875
